t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0.47,5.19905,3.68733,0.423577,-0.665117,10.155,3.26574,0.329708,-1.56213,15.1578,3.90227,0.335563,-0.207662,4.63158,8.62115,-0.783799,1.32193,9.90963,8.51299,-0.192046,1.09219,14.4148,8.08377,-1.24528,0.178735,4.68138,12.3624,-0.677853,0.770856,10.8227,11.7451,1.75064,-0.543197,14.5563,11.492,-0.94441,-1.0816,5.35923,16.4431,0.764301,0.94246
0.48,5.20328,3.68068,0.42358,-0.665113,10.1583,3.25012,0.329708,-1.56212,15.1611,3.9002,0.335558,-0.207653,4.62374,8.63437,-0.783796,1.32195,9.90771,8.52391,-0.192027,1.09223,14.4023,8.08556,-1.24528,0.178773,4.6746,12.3701,-0.67785,0.770843,10.8402,11.7397,1.75065,-0.543249,14.5468,11.4812,-0.944438,-1.08164,5.36688,16.4525,0.764299,0.942448
0.49,5.20752,3.67403,0.423583,-0.66511,10.1616,3.2345,0.329708,-1.56212,15.1645,3.89812,0.335554,-0.207643,4.6159,8.64759,-0.783793,1.32197,9.90579,8.53484,-0.192008,1.09228,14.3899,8.08735,-1.24529,0.178812,4.66782,12.3778,-0.677848,0.77083,10.8578,11.7342,1.75066,-0.543302,14.5374,11.4704,-0.944466,-1.08169,5.37452,16.4619,0.764298,0.942436
0.5,5.21175,3.66738,0.423586,-0.665107,10.1649,3.21888,0.329708,-1.56212,15.1678,3.89604,0.335549,-0.207634,4.60806,8.66081,-0.783789,1.322,9.90387,8.54576,-0.191987,1.09233,14.3774,8.08914,-1.24529,0.178852,4.66104,12.3855,-0.677845,0.770817,10.8753,11.7288,1.75068,-0.543356,14.528,11.4595,-0.944496,-1.08173,5.38216,16.4714,0.764296,0.942425
0.51,5.21599,3.66073,0.423589,-0.665104,10.1682,3.20326,0.329708,-1.56211,15.1712,3.89397,0.335544,-0.207625,4.60022,8.67403,-0.783786,1.32202,9.90195,8.55668,-0.191966,1.09238,14.365,8.09092,-1.2453,0.178894,4.65426,12.3932,-0.677842,0.770804,10.8928,11.7234,1.75069,-0.543412,14.5185,11.4487,-0.944527,-1.08178,5.38981,16.4808,0.764294,0.942413
0.52,5.22023,3.65408,0.423593,-0.665101,10.1714,3.18763,0.329708,-1.56211,15.1745,3.89189,0.335539,-0.207616,4.59239,8.68725,-0.783783,1.32204,9.90003,8.56761,-0.191944,1.09243,14.3525,8.09271,-1.2453,0.178938,4.64749,12.4009,-0.677839,0.77079,10.9103,11.7179,1.7507,-0.543468,14.5091,11.4379,-0.94456,-1.08183,5.39745,16.4902,0.764292,0.942402
0.53,5.22446,3.64742,0.423596,-0.665099,10.1747,3.17201,0.329707,-1.56211,15.1779,3.88981,0.335534,-0.207607,4.58455,8.70047,-0.78378,1.32206,9.89811,8.57853,-0.191921,1.09248,14.3401,8.0945,-1.24531,0.178983,4.64071,12.4086,-0.677837,0.770776,10.9278,11.7125,1.75072,-0.543526,14.4996,11.4271,-0.944595,-1.08188,5.40509,16.4996,0.76429,0.942391
0.54,5.2287,3.64077,0.423599,-0.665096,10.178,3.15639,0.329707,-1.5621,15.1813,3.88774,0.335529,-0.207598,4.57671,8.71369,-0.783777,1.32208,9.89619,8.58946,-0.191897,1.09253,14.3276,8.09629,-1.24531,0.17903,4.63393,12.4163,-0.677834,0.770761,10.9453,11.7071,1.75073,-0.543585,14.4902,11.4163,-0.944632,-1.08193,5.41273,16.5091,0.764289,0.94238
0.55,5.23293,3.63412,0.423602,-0.665093,10.1813,3.14077,0.329707,-1.5621,15.1846,3.88566,0.335524,-0.20759,4.56887,8.72691,-0.783774,1.32211,9.89427,8.60038,-0.191872,1.09259,14.3151,8.09808,-1.24532,0.179078,4.62715,12.4241,-0.677831,0.770746,10.9628,11.7016,1.75075,-0.543646,14.4807,11.4055,-0.94467,-1.08199,5.42038,16.5185,0.764287,0.942369
0.56,5.23717,3.62747,0.423605,-0.665091,10.1846,3.12515,0.329707,-1.5621,15.188,3.88359,0.33552,-0.207581,4.56103,8.74013,-0.783771,1.32213,9.89235,8.61131,-0.191846,1.09264,14.3027,8.09987,-1.24532,0.179128,4.62037,12.4318,-0.677829,0.770731,10.9803,11.6962,1.75077,-0.543707,14.4713,11.3946,-0.94471,-1.08204,5.42802,16.5279,0.764285,0.942357
0.57,5.24141,3.62082,0.423608,-0.665088,10.1879,3.10953,0.329707,-1.5621,15.1913,3.88151,0.335515,-0.207573,4.5532,8.75335,-0.783767,1.32215,9.89044,8.62224,-0.19182,1.09269,14.2902,8.10167,-1.24533,0.179179,4.61359,12.4395,-0.677826,0.770715,10.9978,11.6908,1.75079,-0.54377,14.4618,11.3838,-0.944753,-1.08209,5.43566,16.5373,0.764283,0.942347
0.58,5.24564,3.61417,0.423612,-0.665086,10.1912,3.09391,0.329706,-1.56209,15.1947,3.87944,0.33551,-0.207564,4.54536,8.76657,-0.783764,1.32218,9.88852,8.63316,-0.191792,1.09275,14.2778,8.10346,-1.24533,0.179233,4.60682,12.4472,-0.677823,0.770699,11.0153,11.6853,1.75081,-0.543834,14.4524,11.373,-0.944797,-1.08215,5.44331,16.5468,0.764281,0.942336
0.59,5.24988,3.60752,0.423615,-0.665084,10.1945,3.07829,0.329706,-1.56209,15.198,3.87736,0.335505,-0.207556,4.53752,8.77979,-0.783761,1.3222,9.8866,8.64409,-0.191764,1.09281,14.2653,8.10525,-1.24534,0.179288,4.60004,12.4549,-0.677821,0.770683,11.0328,11.6799,1.75083,-0.5439,14.4429,11.3622,-0.944845,-1.08221,5.45095,16.5562,0.764279,0.942325
0.6,5.25411,3.60087,0.423618,-0.665081,10.1978,3.06267,0.329706,-1.56209,15.2014,3.87528,0.3355,-0.207548,4.52968,8.79302,-0.783758,1.32222,9.88468,8.65502,-0.191734,1.09287,14.2529,8.10704,-1.24534,0.179345,4.59326,12.4626,-0.677818,0.770666,11.0503,11.6744,1.75085,-0.543967,14.4335,11.3513,-0.944894,-1.08227,5.45859,16.5656,0.764277,0.942314
0.61,5.25835,3.59422,0.423621,-0.665079,10.2011,3.04705,0.329706,-1.56208,15.2047,3.87321,0.335495,-0.20754,4.52185,8.80624,-0.783755,1.32225,9.88276,8.66595,-0.191703,1.09293,14.2404,8.10884,-1.24535,0.179404,4.58648,12.4703,-0.677815,0.770649,11.0678,11.669,1.75088,-0.544035,14.424,11.3405,-0.944946,-1.08233,5.46623,16.575,0.764275,0.942304
