t	x	v	state	E_total
38.1	6.81709	-0.562702	1	1.30153
38.2	6.78735	0.127721	1	1.33721
38.3	6.83336	0.746883	1	1.32043
38.4	6.91629	0.984301	1	1.00764
38.5	7.02374	0.810984	1	0.922321
38.6	6.9984	-1.23059	1	0.767177
38.7	6.93704	-0.183483	1	0.410322
38.8	6.94779	0.113893	1	0.332823
38.9	6.98949	0.753993	1	0.349926
39	6.99814	-1.16509	1	0.690363
39.1	6.92457	-0.25294	1	0.503437
39.2	6.91455	0.153422	1	0.54584
39.3	6.97665	1.17468	1	0.835851
39.4	7.02679	-0.518558	1	0.80425
39.5	6.92131	-0.826185	1	0.833093
39.6	6.88648	0.0682258	1	0.711824
39.7	6.93825	0.737288	1	0.657708
39.8	7.02944	0.176215	1	0.751526
39.9	6.95248	-0.796191	1	0.613988
40	6.9011	-0.482703	1	0.734655
40.1	6.8889	0.27974	1	0.733476
40.2	6.95387	0.59104	1	0.462992
40.3	6.99964	0.441172	1	0.0995593
40.4	6.97007	-0.301976	1	0.232655
40.5	6.97511	0.463975	1	0.263195
40.6	6.99433	-0.359814	1	0.100142
40.7	6.99129	0.49312	1	0.176044
40.8	6.97879	-0.453533	1	0.235394
40.9	6.95946	0.101213	1	0.258474
41	7.00354	0.716374	1	0.345166
41.1	6.97711	-0.451638	1	0.245045
41.2	6.96329	0.156944	1	0.241759
41.3	7.00017	0.41414	1	0.0900275
41.4	6.97727	-0.184215	1	0.15905
41.5	6.96696	0.240242	1	0.235331
41.6	7.00338	0.574311	1	0.249306
41.7	6.97511	-0.369296	1	0.223783
41.8	6.96675	0.214402	1	0.230791
41.9	6.98821	0.17739	1	0.0894217
42	7.00058	-0.721492	1	0.274829
42.1	6.9631	-0.0225385	1	0.230867
42.2	6.98775	0.101034	1	0.0816931
42.3	7.00586	-0.476405	1	0.259917
42.4	6.98484	0.178366	1	0.110669
42.5	6.99912	0.0234723	1	0.00575287
42.6	6.99231	0.0776624	1	0.0510523
42.7	6.9852	-0.365774	1	0.159416
42.8	6.98276	0.271076	1	0.144494
42.9	6.9963	-0.483367	1	0.139923
43	6.9976	-0.522344	1	0.151449
43.1	6.98958	0.232133	1	0.0920914
43.2	7.00025	0.121354	1	0.0137217
43.3	6.99844	0.113	1	0.016148
43.4	6.99587	-0.0448996	1	0.0268136
43.5	6.9923	0.0939063	1	0.0525399
43.6	6.98849	-0.146365	1	0.0826234
43.7	7.00317	0.150136	1	0.0905352
43.8	6.96404	-0.286523	1	0.265823
43.9	6.94369	0.0787791	1	0.355054
44	6.97804	0.729843	1	0.40361
44.1	6.99253	-0.877411	1	0.431616
44.2	6.92207	-0.63569	1	0.689096
44.3	6.87587	-0.0580619	1	0.777508
44.4	6.89153	0.438614	1	0.774114
44.5	6.96794	1.13414	1	0.843502
44.6	7.02635	-0.513197	1	0.790495
44.7	6.92851	-0.913818	1	0.864371
44.8	6.87538	0.089714	1	0.782897
44.9	6.90311	0.854644	1	0.970802
45	6.99785	1.09869	1	0.617015
45.1	6.97901	-0.410203	1	0.215294
45.2	6.98815	0.564702	1	0.233506
45.3	6.98688	-0.160319	1	0.0948698
45.4	6.95983	-0.122904	1	0.258634
45.5	6.96471	0.247668	1	0.251214
45.6	7.00848	-0.153321	1	0.223644
45.7	6.97141	-0.133488	1	0.187597
45.8	6.98168	0.0301409	1	0.114952
45.9	6.99749	-0.263454	1	0.0503877
46	6.98799	-0.0899032	1	0.0791174
46.1	7.00336	0.0421389	1	0.0847821
46.2	6.97501	-0.1212	1	0.163514
46.3	6.98577	0.420444	1	0.177296
46.4	6.98445	-0.744043	1	0.373959
46.5	6.93459	-0.135332	1	0.417968
46.6	6.98145	1.02591	1	0.642159
46.7	7.01906	-0.63871	1	0.680573
46.8	6.9419	-0.482723	1	0.479648
46.9	6.92955	0.213605	1	0.463135
47	6.99687	1.00065	1	0.520199
47.1	6.97858	-0.707731	1	0.384341
47.2	6.95027	0.180508	1	0.327111
47.3	7.01755	0.0571844	1	0.440283
47.4	6.96056	-0.475515	1	0.359554
47.5	6.94814	0.357995	1	0.388234
47.6	7.01646	0.739625	1	0.685087
