# t K1 K2 U1 U2 Uc E_tot
0.28300000 0.26147657 0.23048803 -1.00427011 0.09035865 1.19364057 0.77169370
0.28400000 0.25474137 0.22951327 -1.00067407 0.08892439 1.19846834 0.77097330
0.28500000 0.24807013 0.22946468 -0.99710232 0.08750388 1.20327353 0.77120989
0.28600000 0.24142067 0.22879723 -0.99356151 0.08609534 1.20805482 0.77080657
0.28700000 0.23538851 0.22757105 -0.99004805 0.08470406 1.21280610 0.77042167
0.28800000 0.22976048 0.22682134 -0.98655972 0.08332783 1.21753265 0.77088258
0.28900000 0.22381513 0.22573058 -0.98309565 0.08196557 1.22223703 0.77065266
0.29000000 0.21750977 0.22459882 -0.97966444 0.08062004 1.22690870 0.76997288
0.29100000 0.21178156 0.22376978 -0.97626614 0.07928836 1.23155269 0.77012625
0.29200000 0.20636646 0.22271522 -0.97289470 0.07797121 1.23617192 0.77033011
0.29300000 0.20096898 0.22113097 -0.96955400 0.07666887 1.24076328 0.76997810
0.29400000 0.19573369 0.21901245 -0.96624258 0.07538377 1.24532326 0.76921058
0.29500000 0.19013703 0.21722287 -0.96296190 0.07411613 1.24985021 0.76836434
0.29600000 0.18427711 0.21607624 -0.95971938 0.07286335 1.25434383 0.76784116
0.29700000 0.17834101 0.21448987 -0.95651511 0.07162388 1.25880682 0.76674647
0.29800000 0.17214279 0.21277549 -0.95335352 0.07040136 1.26322923 0.76519536
0.29900000 0.16607995 0.21156534 -0.95023824 0.06919249 1.26761475 0.76421428
0.30000000 0.16038626 0.21053291 -0.94716667 0.06799726 1.27196498 0.76371474
0.30100000 0.15487982 0.20914471 -0.94413792 0.06681430 1.27628306 0.76298398
0.30200000 0.14953273 0.20724953 -0.94115251 0.06564659 1.28056261 0.76183896
0.30300000 0.14435091 0.20580034 -0.93820994 0.06449359 1.28480471 0.76123960
0.30400000 0.13918627 0.20441222 -0.93531052 0.06335292 1.28901367 0.76065456
0.30500000 0.13421311 0.20314375 -0.93245666 0.06222621 1.29318439 0.76031080
0.30600000 0.12967976 0.20169452 -0.92964501 0.06111081 1.29732421 0.76016429
