# t x1 v1 x2 v2
4.38 0.00554621 1.91317 -0.624964 1.57989
4.39 0.0247575 1.92907 -0.60907 1.59906
4.4 0.0441274 1.94491 -0.592982 1.61851
4.41 0.0636553 1.96065 -0.576698 1.63826
4.42 0.0833401 1.97629 -0.560216 1.6583
4.43 0.103181 1.99181 -0.543531 1.67864
4.44 0.123176 2.00718 -0.526642 1.69928
4.45 0.143324 2.02239 -0.509545 1.72022
4.46 0.163623 2.03741 -0.492237 1.74145
4.47 0.184071 2.05223 -0.474715 1.76299
4.48 0.204667 2.0668 -0.456976 1.78484
4.49 0.225407 2.08113 -0.439017 1.80698
4.5 0.246288 2.09516 -0.420835 1.82942
4.51 0.267309 2.10889 -0.402427 1.85216
4.52 0.288465 2.12229 -0.383791 1.8752
4.53 0.309753 2.13532 -0.364923 1.89853
4.54 0.33117 2.14796 -0.345819 1.92214
4.55 0.352711 2.16018 -0.326479 1.94604
4.56 0.374372 2.17194 -0.306898 1.97022
4.57 0.396148 2.18323 -0.287073 1.99468
4.58 0.418035 2.194 -0.267003 2.01939
4.59 0.440026 2.20423 -0.246685 2.04436
4.6 0.462117 2.21388 -0.226115 2.06958
4.61 0.484302 2.22292 -0.205292 2.09503
4.62 0.506574 2.23132 -0.184214 2.1207
4.63 0.528926 2.23905 -0.162877 2.14659
4.64 0.551352 2.24607 -0.141281 2.17266
4.65 0.573845 2.25235 -0.119424 2.19892
4.66 0.596397 2.25787 -0.0973025 2.22533
4.67 0.619 2.26258 -0.0749166 2.25188
4.68 0.641646 2.26645 -0.0522646 2.27854
4.69 0.664326 2.26946 -0.0293455 2.3053
4.7 0.687032 2.27157 -0.00615843 2.33212
4.71 0.709754 2.27276 0.0172971 2.35899
4.72 0.732484 2.273 0.0410213 2.38586
4.73 0.755211 2.27225 0.0650142 2.41271
4.74 0.777926 2.2705 0.0892754 2.43951
4.75 0.800618 2.26772 0.113804 2.46621
4.76 0.823276 2.26389 0.138599 2.49278
4.77 0.845892 2.25898 0.163659 2.51918
4.78 0.868452 2.25298 0.188982 2.54536
4.79 0.890948 2.24587 0.214565 2.57128
4.8 0.913366 2.23764 0.240407 2.59689
4.81 0.935697 2.22827 0.266502 2.62214
4.82 0.957928 2.21776 0.292848 2.64697
4.83 0.980048 2.20609 0.31944 2.67134
4.84 1.00205 2.19327 0.346273 2.69517
4.85 1.02391 2.17929 0.373341 2.71841
4.86 1.04563 2.16415 0.400639 2.741
4.87 1.06719 2.14786 0.428159 2.76288
4.88 1.08858 2.13042 0.455894 2.78397
4.89 1.10979 2.11185 0.483835 2.8042
4.9 1.13081 2.09216 0.511975 2.82351
4.91 1.15163 2.07135 0.540302 2.84183
4.92 1.17224 2.04946 0.568808 2.85908
4.93 1.19262 2.02651 0.59748 2.87519
4.94 1.21276 2.00251 0.626307 2.89007
4.95 1.23267 1.9775 0.655277 2.90367
4.96 1.25231 1.9515 0.684376 2.9159
4.97 1.27169 1.92455 0.71359 2.92669
4.98 1.2908 1.89669 0.742905 2.93596
4.99 1.30962 1.86795 0.772304 2.94365
5 1.32816 1.83837 0.801772 2.94968
5.01 1.34639 1.80799 0.831292 2.95398
5.02 1.36431 1.77686 0.860846 2.95649
5.03 1.38192 1.74502 0.890416 2.95715
5.04 1.39921 1.71251 0.919982 2.95589
5.05 1.41617 1.67939 0.949527 2.95267
5.06 1.4328 1.6457 0.979029 2.94743
5.07 1.44908 1.61149 1.00847 2.94012
5.08 1.46503 1.57681 1.03782 2.93072
5.09 1.48062 1.54172 1.06708 2.91918
5.1 1.49586 1.50625 1.0962 2.90548
5.11 1.51074 1.47047 1.12518 2.8896
5.12 1.52527 1.43441 1.15399 2.87152
5.13 1.53943 1.39814 1.1826 2.85125
5.14 1.55323 1.3617 1.211 2.82879
5.15 1.56666 1.32513 1.23917 2.80414
5.16 1.57973 1.28848 1.26708 2.77733
5.17 1.59243 1.25181 1.29471 2.74838
5.18 1.60477 1.21515 1.32204 2.71733
5.19 1.61674 1.17854 1.34905 2.68422
5.2 1.62834 1.14203 1.37572 2.6491
5.21 1.63958 1.10566 1.40202 2.61203
5.22 1.65045 1.06947 1.42795 2.57308
5.23 1.66097 1.03349 1.45348 2.53233
5.24 1.67112 0.997758 1.47859 2.48984
5.25 1.68093 0.962305 1.50327 2.44572
5.26 1.69037 0.927164 1.5275 2.40004
5.27 1.69947 0.892363 1.55127 2.3529
